Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2012950006007,323500,672270,-3.226205,55.937418,95,3,2,1,28/10/2012,1,14:20:00,923,S12000036,5,0,6,30,6,2,3,70,2,5,1,1,2,0,0,1,1,
2012950006008,328290,668460,-3.14853,55.903931,95,2,2,1,28/10/2012,1,00:20:00,923,S12000036,4,701,6,30,6,2,5,0,0,5,4,1,2,0,0,1,1,
2012950006009,334500,661800,-3.047612,55.844986,95,3,1,1,28/10/2012,1,14:03:00,929,S12000019,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,
2012950006010,297190,668480,-3.645771,55.898468,95,3,2,1,28/10/2012,1,19:30:00,940,S12000040,6,0,6,30,1,4,6,0,0,0,4,2,2,0,0,1,1,
2012950006011,328250,668490,-3.149178,55.904194,95,3,2,1,28/10/2012,1,08:00:00,923,S12000036,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
2012950006019,322720,671550,-3.238482,55.930825,95,3,3,1,29/10/2012,2,08:30:00,923,S12000036,6,0,6,30,9,2,6,0,0,0,1,1,2,0,0,1,2,
2012950006030,326190,674620,-3.183797,55.958949,95,3,2,1,29/10/2012,2,10:28:00,923,S12000036,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
2012950006031,300470,667510,-3.592982,55.890446,95,3,2,1,19/10/2012,6,06:50:00,940,S12000040,6,0,6,40,0,-1,-1,0,0,0,1,1,2,0,0,2,1,
2012950006032,327280,670070,-3.165115,55.918242,95,2,1,1,28/10/2012,1,02:00:00,923,S12000036,5,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,
2012950006037,386620,650680,-2.214712,55.749343,95,2,2,1,29/10/2012,2,10:30:00,914,S12000026,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,
2012950006038,304630,668880,-3.526976,55.903594,95,3,1,1,29/10/2012,2,15:50:00,940,S12000040,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
2012950006041,325280,674310,-3.198283,55.956023,95,3,1,1,29/10/2012,2,17:30:00,923,S12000036,6,0,6,30,6,2,5,0,0,5,6,1,1,0,0,1,1,
2012950006045,329190,673090,-3.135354,55.945656,95,2,2,1,29/10/2012,2,17:50:00,923,S12000036,3,1,6,30,6,2,5,0,0,4,1,1,1,0,0,1,1,
2012950006047,326140,670960,-3.183594,55.926063,95,2,2,1,29/10/2012,2,18:40:00,923,S12000036,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,
2012950006053,320980,670940,-3.266146,55.925062,95,3,3,1,30/10/2012,3,09:35:00,923,S12000036,6,0,6,30,1,4,5,0,0,0,1,1,2,0,0,1,2,
